# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    189     37      -     69      7      0      0      0      0  12481   2280 
    0    186     37      -     90     28      0      0      0      0  12481   2280 
    0    178     36      -     65     17      0      0      0      0  12481   2280 
    0    177     36      -     52     10      0      0      0      0  12481   2280 
    0    174     35      -     44      6      0      0      0      0  12481   2280 
    0    184     37      -     58      6      0      0      0      0  12481   2280 
    0    189     38      -     87     17      0      0      0      0  12481   2280 
    0    175     39      -     65     16      0      0      0      0  12481   2280 
    0    177     37      -     41      5      0      0      0      0  12481   2280 
    0    175     37      -     45      6      0      0      0      0  12481   2280 
    0    179     38      -     54      4      0      0      0      0  12481   2280 
    0    188     39      -     81     17      0      0      0      0  12481   2280 
    0    174     40      -     90     26      0      0      0      0  12481   2280 
    0     94     36      -      0      0      0      0      0      0  12481   2280 
    0     85     36      -      0      0      0      0      0      0  12481   2280 
    0     48     35      -      0      0      0      0      0      0  12481    577 
    0     48     34      -      0      0      0      0      0      0  12481    367 
    0     47     34      -      0      0      0      0      0      0  12481    225 
    0     47     34      -      0      0      0      0      0      0  12481    180 
    0     47     34      -      0      0      0      0      0      0  12481    180 
    0     47     34      -      0      0      0      0      0      0  12481    172 
    0     47     34      -      0      0      0      0      0      0  12481    180 
    0     47     34      -      0      0      0      0      0      0  12481    180 
    0     47     34      -      0      0      0      0      0      0  12481    180 
    0     47     33      -      0      0      0      0      0      0  12481    180 
    0     30     33      -      0      0      0      0      0      0    405    180 
    0     30     33      -      0      0      0      0      0      0    405    180 
    0     30     33      -      0      0      0      0      0      0    405    180 
    0     30     33      -      0      0      0      0      0      0    405    180 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     30     33      -      0      0      0      0      0      0    405    180 
    0     30     33      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     29     32      -      0      0      0      0      0      0    405    180 
    0     29     32      -      0      0      0      0      0      0    405    180 
    0     29     32      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     29     32      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     30     32      -      0      0      0      0      0      0    405    180 
    0     29     32      -      0      0      0      0      0      0    405    180 
    0     29     32      -      0      0      0      0      0      0    405    180 
